epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8022.82,0.35555,0.2425,0.82596,0.95438,0.90289,0.93593,0.70829,0.95191,0.5241,1.1606,0.007921,0.007921,0.007921
44,8208.88,0.35182,0.24035,0.82334,0.92923,0.90666,0.93127,0.68555,1.00394,0.53066,1.21701,0.0078715,0.0078715,0.0078715
45,8394.76,0.34803,0.23673,0.82241,0.94047,0.88767,0.93457,0.69017,1.00251,0.5515,1.20451,0.007822,0.007822,0.007822
46,8580.83,0.34329,0.23569,0.82061,0.93612,0.90595,0.93456,0.70391,0.96397,0.52047,1.16728,0.0077725,0.0077725,0.0077725
47,8767.32,0.34111,0.23461,0.81997,0.94323,0.90771,0.93098,0.70418,0.9657,0.52464,1.18289,0.007723,0.007723,0.007723
48,8953.74,0.33451,0.23049,0.81842,0.93947,0.90651,0.93663,0.70285,0.97091,0.52251,1.18941,0.0076735,0.0076735,0.0076735
49,9139.99,0.33304,0.22984,0.81687,0.94155,0.90334,0.93714,0.70151,0.97406,0.51995,1.18693,0.007624,0.007624,0.007624
50,9326.6,0.33061,0.2278,0.81683,0.93563,0.91259,0.93522,0.70312,0.97224,0.53076,1.1803,0.0075745,0.0075745,0.0075745
51,9513.11,0.32694,0.22383,0.81585,0.93105,0.91328,0.93631,0.70089,0.97261,0.5239,1.18371,0.007525,0.007525,0.007525
52,9699.14,0.32468,0.22466,0.81463,0.93823,0.91266,0.93969,0.70853,0.95869,0.50999,1.16861,0.0074755,0.0074755,0.0074755
53,9885.31,0.3202,0.22274,0.81376,0.9483,0.90938,0.94287,0.70151,0.98399,0.5133,1.19475,0.007426,0.007426,0.007426
54,10071.6,0.31716,0.22113,0.81278,0.94825,0.9011,0.94094,0.69822,0.98376,0.52583,1.20132,0.0073765,0.0073765,0.0073765
55,10258,0.31368,0.21911,0.81085,0.94581,0.90449,0.93404,0.70559,0.96907,0.5174,1.18472,0.007327,0.007327,0.007327
56,10445,0.31067,0.21588,0.81051,0.94542,0.9044,0.93662,0.6998,0.98132,0.52427,1.19542,0.0072775,0.0072775,0.0072775
57,10630.7,0.30732,0.21478,0.80896,0.9427,0.90592,0.93457,0.69385,0.98545,0.5227,1.19876,0.007228,0.007228,0.007228
58,10817.2,0.30679,0.21428,0.80903,0.94777,0.90058,0.93942,0.71084,0.95758,0.51167,1.16787,0.0071785,0.0071785,0.0071785
59,11003.4,0.30082,0.21281,0.80768,0.95279,0.89951,0.93936,0.70747,0.96453,0.51817,1.17796,0.007129,0.007129,0.007129
60,11189.9,0.30123,0.21125,0.80735,0.94156,0.9002,0.93427,0.69655,0.97892,0.5343,1.19875,0.0070795,0.0070795,0.0070795
61,11376,0.29815,0.20804,0.80643,0.93127,0.90825,0.93753,0.70402,0.96756,0.52996,1.18977,0.00703,0.00703,0.00703
62,11562.7,0.29413,0.20706,0.80573,0.94983,0.90051,0.93784,0.70551,0.97431,0.52204,1.18958,0.0069805,0.0069805,0.0069805
63,11748.7,0.2918,0.20494,0.8042,0.95058,0.89761,0.9396,0.70467,0.97604,0.52533,1.19202,0.006931,0.006931,0.006931
64,11935,0.29122,0.20554,0.80465,0.95107,0.90191,0.93807,0.7056,0.97797,0.52942,1.19537,0.0068815,0.0068815,0.0068815
65,12121,0.28989,0.20424,0.80361,0.94593,0.90127,0.93866,0.70797,0.97088,0.51933,1.1871,0.006832,0.006832,0.006832
66,12307.2,0.28397,0.20215,0.80286,0.9467,0.90129,0.94165,0.71043,0.96495,0.52152,1.18685,0.0067825,0.0067825,0.0067825
67,12493.3,0.28102,0.20143,0.80197,0.94037,0.9107,0.94197,0.71222,0.96857,0.52317,1.18594,0.006733,0.006733,0.006733
68,12680.2,0.28179,0.20006,0.80242,0.93797,0.90522,0.93968,0.7068,0.97014,0.52742,1.18788,0.0066835,0.0066835,0.0066835
69,12866.4,0.2794,0.19931,0.80132,0.95047,0.89957,0.94103,0.70975,0.96418,0.5227,1.19034,0.006634,0.006634,0.006634
70,13052.6,0.27493,0.19648,0.80057,0.94808,0.90191,0.94085,0.7096,0.96533,0.52035,1.18846,0.0065845,0.0065845,0.0065845
71,13239.1,0.27265,0.19457,0.79919,0.94966,0.89878,0.94132,0.70945,0.96826,0.52416,1.19173,0.006535,0.006535,0.006535
72,13425.6,0.26979,0.19351,0.79867,0.95115,0.89474,0.94134,0.71241,0.9674,0.52724,1.18977,0.0064855,0.0064855,0.0064855
73,13612,0.26834,0.19089,0.79809,0.95761,0.89671,0.94263,0.71153,0.96995,0.52552,1.19182,0.006436,0.006436,0.006436
74,13798.4,0.26674,0.19173,0.79767,0.9588,0.8964,0.94084,0.71055,0.96868,0.52517,1.18862,0.0063865,0.0063865,0.0063865
75,13984.7,0.2676,0.19102,0.79783,0.9526,0.89609,0.93976,0.71031,0.97308,0.53137,1.19269,0.006337,0.006337,0.006337
76,14171.2,0.26414,0.19131,0.79749,0.95411,0.89663,0.93968,0.70969,0.96887,0.53204,1.18602,0.0062875,0.0062875,0.0062875
77,14357.9,0.26167,0.19067,0.79598,0.94353,0.90713,0.93851,0.71244,0.96825,0.52883,1.18703,0.006238,0.006238,0.006238
78,14544.3,0.25979,0.18777,0.79595,0.95272,0.89968,0.93855,0.7123,0.96732,0.52978,1.18855,0.0061885,0.0061885,0.0061885
79,14730.8,0.25609,0.18536,0.79514,0.95243,0.89633,0.93818,0.71203,0.96848,0.52821,1.19052,0.006139,0.006139,0.006139
80,14917.5,0.25457,0.18441,0.79372,0.94663,0.90346,0.93997,0.71074,0.96991,0.52405,1.1914,0.0060895,0.0060895,0.0060895
81,15103.5,0.25297,0.18313,0.79462,0.9447,0.90368,0.93963,0.71176,0.97028,0.52289,1.19038,0.00604,0.00604,0.00604
82,15290.3,0.25003,0.18359,0.79357,0.94622,0.90197,0.93965,0.71126,0.96889,0.52297,1.18911,0.0059905,0.0059905,0.0059905
83,15475.9,0.24976,0.18464,0.79294,0.94742,0.90476,0.93832,0.71045,0.969,0.52438,1.19022,0.005941,0.005941,0.005941
84,15662.8,0.24452,0.1805,0.79229,0.94737,0.90175,0.93784,0.70925,0.97169,0.52694,1.19363,0.0058915,0.0058915,0.0058915
85,15848.6,0.24367,0.17936,0.79189,0.95521,0.8949,0.9371,0.70921,0.97393,0.52933,1.19776,0.005842,0.005842,0.005842
86,16034.6,0.24233,0.17738,0.79177,0.95452,0.89431,0.93553,0.7056,0.97894,0.53169,1.20239,0.0057925,0.0057925,0.0057925
87,16221.2,0.24059,0.17835,0.79116,0.95353,0.88997,0.93497,0.70301,0.9825,0.53687,1.20603,0.005743,0.005743,0.005743
88,16407.8,0.23822,0.17518,0.79044,0.95152,0.88958,0.9358,0.70328,0.98028,0.53867,1.20493,0.0056935,0.0056935,0.0056935
89,16594.2,0.23837,0.17681,0.79011,0.95022,0.89083,0.93556,0.70432,0.97777,0.5374,1.20407,0.005644,0.005644,0.005644
90,16781.6,0.23382,0.17392,0.7892,0.95183,0.89231,0.93566,0.70341,0.97544,0.53634,1.20344,0.0055945,0.0055945,0.0055945
91,16980.2,0.23588,0.17393,0.78946,0.95099,0.89168,0.93544,0.70473,0.97324,0.53565,1.20173,0.005545,0.005545,0.005545
92,17169.7,0.23331,0.17307,0.7892,0.94896,0.89461,0.93621,0.70628,0.96845,0.53406,1.19712,0.0054955,0.0054955,0.0054955
